"FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose"
1,"Wallal Downs",8.9721,"Current","Irrigation"," "," ",823,0,106190.789,53683.7210000004,0,1,13940,1,"Irrigation"
2,"Nita Downs",6.0236,"Future","Irrigation"," "," ",1497,0,241890.94,162534.217,0,1,10543,2,"Irrigation"
3,"Shalemar",13.688,"Current","Irrigation"," "," ",1525,0,248099.273,173641.801,0,1,16014,1,"Irrigation"
4,"Shamrock",23.073,"Future","Irrigation"," "," ",1724,0,278294.391,228918.452,0,1,21260,2,"Irrigation"
5,"Shamrock Gardens",3.1233,"Current","Irrigation"," "," ",1747,0,272579.784,221146.177,0,1,7706,1,"Irrigation"
6,"Pardoo",0.809,"Current","Irrigation","","",533,0,32518.9640000002,29699.8320000004,0,1,4510,1,"Irrigation"
7,"Anna Plains",0,"Tank","McPhee Well"," "," ",1495,0,227871.042,161481.777,0,1,0,1,"Artificial"
8,"Anna Plains",0,"Tank","Almos Bore"," "," ",1496,0,233839.484,162548.01,0,1,0,1,"Artificial"
9,"Anna Plains",0,"Tank","Calanjadie Well"," "," ",1468,0,229745.432,157634.112,0,1,0,1,"Artificial"
10,"Anna Plains",0,"Tank","Nummery Well"," "," ",1413,0,228510.248,150735.173,0,1,0,1,"Artificial"
11,"Anna Plains",0,"Tank","Bauhinia Bore"," "," ",1385,0,233286.813,148303.323,0,1,0,1,"Artificial"
12,"Anna Plains",0,"Tank","Cardingy Bore"," "," ",1383,0,226374.292,145067.91,0,1,0,1,"Artificial"
13,"Anna Plains",0,"Tank","No 4 Bore"," "," ",1385,0,237659.655,145875.823,0,1,0,1,"Artificial"
14,"Anna Plains",0,"Tank","Homestead Bore"," "," ",1383,0,225277.473,142402.292,0,1,0,1,"Artificial"
15,"Anna Plains",0,"Tank","Pindan Bore"," "," ",1355,0,231651.081,141799.431,0,1,0,1,"Artificial"
16,"Anna Plains",0,"Tank","Yellow Gap Well"," "," ",1355,0,228775.002,138388.14,0,1,0,1,"Artificial"
17,"Anna Plains",0,"Bore","Artesian Bore"," "," ",1355,0,228209.43,142320.411,0,1,0,1,"Artificial"
18,"Anna Plains",0,"Tank","Rachel Poly"," "," ",1354,0,224559.678,136341.076,0,1,0,1,"Artificial"
19,"Anna Plains",0,"Tank","Pinchers Poly"," "," ",1323,0,220949.545,134171.203,0,1,0,1,"Artificial"
20,"Anna Plains",0,"Tank","Helen Poly"," "," ",1353,0,218535.909,138055.264,0,1,0,1,"Artificial"
21,"Anna Plains",0,"Tank","Dusty Poly"," "," ",1323,0,217763.422,134163.124,0,1,0,1,"Artificial"
