"","max.distance","colonisers.perwave","move.days","colonisation.prob"
"1",20,20,"160",0.239
"2",40,20,"160",0.033
"3",60,20,"160",0.003
"4",80,20,"160",0.001
"5",100,20,"160",0.001
"6",120,20,"160",0
"7",140,20,"160",0
"8",160,20,"160",0
"9",180,20,"160",0
"10",200,20,"160",0
"11",20,40,"160",0.587
"12",40,40,"160",0.093
"13",60,40,"160",0.01
"14",80,40,"160",0.001
"15",100,40,"160",0
"16",120,40,"160",0
"17",140,40,"160",0
"18",160,40,"160",0
"19",180,40,"160",0
"20",200,40,"160",0
"21",20,60,"160",0.85
"22",40,60,"160",0.194
"23",60,60,"160",0.026
"24",80,60,"160",0.003
"25",100,60,"160",0.001
"26",120,60,"160",0
"27",140,60,"160",0
"28",160,60,"160",0
"29",180,60,"160",0
"30",200,60,"160",0
"31",20,80,"160",0.95
"32",40,80,"160",0.289
"33",60,80,"160",0.056
"34",80,80,"160",0.009
"35",100,80,"160",0.002
"36",120,80,"160",0
"37",140,80,"160",0
"38",160,80,"160",0
"39",180,80,"160",0
"40",200,80,"160",0
"41",20,100,"160",0.971
"42",40,100,"160",0.432
"43",60,100,"160",0.087
"44",80,100,"160",0.011
"45",100,100,"160",0.003
"46",120,100,"160",0
"47",140,100,"160",0
"48",160,100,"160",0
"49",180,100,"160",0
"50",200,100,"160",0
"51",20,20,"140",0.177
"52",40,20,"140",0.016
"53",60,20,"140",0.002
"54",80,20,"140",0
"55",100,20,"140",0
"56",120,20,"140",0
"57",140,20,"140",0
"58",160,20,"140",0
"59",180,20,"140",0
"60",200,20,"140",0
"61",20,40,"140",0.466
"62",40,40,"140",0.057
"63",60,40,"140",0.005
"64",80,40,"140",0
"65",100,40,"140",0
"66",120,40,"140",0
"67",140,40,"140",0
"68",160,40,"140",0
"69",180,40,"140",0
"70",200,40,"140",0
"71",20,60,"140",0.737
"72",40,60,"140",0.123
"73",60,60,"140",0.015
"74",80,60,"140",0.001
"75",100,60,"140",0
"76",120,60,"140",0
"77",140,60,"140",0
"78",160,60,"140",0
"79",180,60,"140",0
"80",200,60,"140",0
"81",20,80,"140",0.87
"82",40,80,"140",0.207
"83",60,80,"140",0.031
"84",80,80,"140",0.006
"85",100,80,"140",0.002
"86",120,80,"140",0
"87",140,80,"140",0
"88",160,80,"140",0
"89",180,80,"140",0
"90",200,80,"140",0
"91",20,100,"140",0.927
"92",40,100,"140",0.293
"93",60,100,"140",0.055
"94",80,100,"140",0.003
"95",100,100,"140",0.002
"96",120,100,"140",0
"97",140,100,"140",0
"98",160,100,"140",0
"99",180,100,"140",0
"100",200,100,"140",0
"101",20,20,"120",0.108
"102",40,20,"120",0.011
"103",60,20,"120",0
"104",80,20,"120",0
"105",100,20,"120",0
"106",120,20,"120",0
"107",140,20,"120",0
"108",160,20,"120",0
"109",180,20,"120",0
"110",200,20,"120",0
"111",20,40,"120",0.332
"112",40,40,"120",0.033
"113",60,40,"120",0.003
"114",80,40,"120",0
"115",100,40,"120",0
"116",120,40,"120",0
"117",140,40,"120",0
"118",160,40,"120",0
"119",180,40,"120",0
"120",200,40,"120",0
"121",20,60,"120",0.587
"122",40,60,"120",0.071
"123",60,60,"120",0.011
"124",80,60,"120",0.001
"125",100,60,"120",0
"126",120,60,"120",0
"127",140,60,"120",0
"128",160,60,"120",0
"129",180,60,"120",0
"130",200,60,"120",0
"131",20,80,"120",0.751
"132",40,80,"120",0.121
"133",60,80,"120",0.015
"134",80,80,"120",0.003
"135",100,80,"120",0.001
"136",120,80,"120",0
"137",140,80,"120",0
"138",160,80,"120",0
"139",180,80,"120",0
"140",200,80,"120",0
"141",20,100,"120",0.829
"142",40,100,"120",0.18
"143",60,100,"120",0.027
"144",80,100,"120",0.002
"145",100,100,"120",0.001
"146",120,100,"120",0
"147",140,100,"120",0
"148",160,100,"120",0
"149",180,100,"120",0
"150",200,100,"120",0
"151",20,20,"100",0.066
"152",40,20,"100",0.006
"153",60,20,"100",0
"154",80,20,"100",0
"155",100,20,"100",0
"156",120,20,"100",0
"157",140,20,"100",0
"158",160,20,"100",0
"159",180,20,"100",0
"160",200,20,"100",0
"161",20,40,"100",0.228
"162",40,40,"100",0.017
"163",60,40,"100",0
"164",80,40,"100",0
"165",100,40,"100",0
"166",120,40,"100",0
"167",140,40,"100",0
"168",160,40,"100",0
"169",180,40,"100",0
"170",200,40,"100",0
"171",20,60,"100",0.424
"172",40,60,"100",0.036
"173",60,60,"100",0.005
"174",80,60,"100",0
"175",100,60,"100",0
"176",120,60,"100",0
"177",140,60,"100",0
"178",160,60,"100",0
"179",180,60,"100",0
"180",200,60,"100",0
"181",20,80,"100",0.581
"182",40,80,"100",0.06
"183",60,80,"100",0.004
"184",80,80,"100",0.001
"185",100,80,"100",0.001
"186",120,80,"100",0
"187",140,80,"100",0
"188",160,80,"100",0
"189",180,80,"100",0
"190",200,80,"100",0
"191",20,100,"100",0.66
"192",40,100,"100",0.09
"193",60,100,"100",0.012
"194",80,100,"100",0.001
"195",100,100,"100",0
"196",120,100,"100",0
"197",140,100,"100",0
"198",160,100,"100",0
"199",180,100,"100",0
"200",200,100,"100",0
"201",20,20,"80",0.021
"202",40,20,"80",0.001
"203",60,20,"80",0
"204",80,20,"80",0
"205",100,20,"80",0
"206",120,20,"80",0
"207",140,20,"80",0
"208",160,20,"80",0
"209",180,20,"80",0
"210",200,20,"80",0
"211",20,40,"80",0.12
"212",40,40,"80",0.007
"213",60,40,"80",0
"214",80,40,"80",0
